player_name,primary_tour,last_played,playing_this_week,last_5_finishes,trend_index,baseline_index
"Inamori, Yuki",JPN,"Jun 12, 2022",no,T8 - CUT - MC - T11 - T51,-0.7671159999999994,0.23676981632653138
"Parry, John",CHA,"Jun 12, 2022",no,CUT - T7 - CUT - T5 - T29,-0.7678589999999983,0.5713058529411774
"Norlander, Henrik",PGA,"Jun 12, 2022",no,CUT - CUT - T59 - CUT - CUT,-0.7705799999999996,-0.5831851807228912
"Otsuki, Tomoharu",JPN,"Jun 12, 2022",no,T57 - T2 - MC - 2 - T10,-0.7728324999999997,0.4124784
"Hickok, Kramer",PGA,"Jun 12, 2022",no,CUT - T69 - CUT - T64 - T61,-0.7795419999999993,-0.6746508636363628
"Bramlett, Joseph",PGA,"Jun 12, 2022",pga,CUT - CUT - CUT - T51 - CUT,-0.7822564999999997,-0.44804049999999973
"Stanger, Jimmy",KFT,"Jun 12, 2022",web,T45 - T32 - T3 - CUT - CUT,-0.7823790000000004,0.6209774285714289
"Van Tonder, Daniel",EURO,"Jun 5, 2022",no,T42 - T27 - CUT - T47 - CUT,-0.7877514999999988,-0.067283635922329
"Lee, Tain",KFT,"Jun 12, 2022",web,T9 - 11 - CUT - T52 - T54,-0.7919294999999994,0.5880183571428587
"Fishburn, Patrick",KFT,"Jun 12, 2022",web,T13 - T24 - CUT - CUT - CUT,-0.7937689999999995,0.26926183333333453
"Eckroat, Austin",KFT,"Jun 12, 2022",web,CUT - T23 - T23 - T25 - T25,-0.8022040000000003,-0.4924451475409839
"Rodriguez, Jose de Jesus",KFT,"May 22, 2022",no,T58 - CUT - T40 - T32 - T16,-0.8087260000000007,-0.12179927586206984
"Howie, Craig",EURO,"Jun 12, 2022",no,T30 - CUT - CUT - CUT - T15,-0.8104174999999996,0.47022081460674237
"Hansen, Joachim B",EURO,"Jun 5, 2022",no,CUT - CUT - T55 - CUT - CUT,-0.8162134999999999,-0.3751334029126213
"Pepperell, Eddie",EURO,"Jun 5, 2022",no,CUT - T48 - CUT - T14 - CUT,-0.821399000000002,0.508898999999998
"Kearney, Niall",EURO,"Jun 5, 2022",no,T34 - T49 - T67 - T15 - CUT,-0.8229549999999997,-0.26986449152542347
"Kinhult, Marcus",EURO,"Jun 12, 2022",no,CUT - CUT - T27 - CUT - T51,-0.8320084999999986,0.6720740609756113
"Herman, Jim",PGA,"Jun 12, 2022",no,T56 - CUT - CUT - CUT - CUT,-0.8390895000000004,-0.32292740322580693
"Norris, Shaun",JPN,"Jun 11, 2022",pga,MC - T10 - CUT - T71 - T22,-0.8415519999999999,-0.5204580396039602
"Ahlers, Jaco",AFR,"Jun 5, 2022",no,T15 - T16 - T4 - T9 - T25,-0.8485555000000007,0.1725002499999999
"Gagli, Lorenzo",EURO,"Jun 12, 2022",no,CUT - CUT - T24 - DISQ - CUT,-0.8494950000000004,1.0362538461538464
"Laird, Martin",PGA,"Jun 12, 2022",no,CUT - 61 - CUT - T37 - CUT,-0.8521275000000005,-0.9334497388059707
"Streb, Robert",PGA,"Jun 12, 2022",no,CUT - CUT - CUT - CUT - T53,-0.8529174999999996,-0.6803289772727268
"Redman, Doc",PGA,"May 29, 2022",no,T48 - 3 - CUT - CUT - CUT,-0.8700384999999995,-0.5416839216867464
"Guerrier, Julien",EURO,"Jun 12, 2022",no,CUT - T23 - CUT - T10 - CUT,-0.8707930000000008,-0.21079677777777883
"Brennan, Michael",AM,"May 30, 2022",no,T34 - 3 - T3 - T4 - T85,-0.8714890000000001,0.16989618518518512
"Buckley, Hayden",PGA,"Jun 12, 2022",pga,T61 - CUT - CUT - CUT - CUT,-0.8786204999999997,-0.48532845918367323
"Coody, Parker",AM,"May 30, 2022",no,T9 - T36 - T9 - T23 - T2,-0.8830109999999985,0.6890313076923092
"Sigg, Greyson",PGA,"Jun 12, 2022",no,T33 - CUT - CUT - CUT - CUT,-0.8849964999999995,-0.7460800514018686
"Young, Carson",KFT,"Jun 12, 2022",web,T27 - T16 - CUT - CUT - T37,-0.8863644999999989,0.37675686986301504
"Echavarria, Nicolas",KFT,"Jun 12, 2022",web,T32 - T76 - T61 - CUT - T5,-0.8887320000000006,-0.24052738461538548
"Maas, Christiaan",AM,"Jun 5, 2022",no,T5 - 1 - 1 - T22 - 6,-0.9005405000000011,0.32021931132075365
"Khongwatmai, Phachara",ASA,"Jun 11, 2022",no,T6 - 2 - WD - T49 - T25,-0.9066829999999992,0.18010009859154996
"Hanna, Chase",EURO,"Jun 12, 2022",no,T6 - T4 - CUT - CUT - CUT,-0.9071719999999995,0.03297310869565273
"Dickson, Taylor",KFT,"Jun 12, 2022",web,8 - CUT - CUT - T37 - CUT,-0.9076640000000002,0.255039275862069
"Katayama, Shingo",JPN,"Jun 12, 2022",no,5 - T39 - T26 - T6 - WD,-0.9216369999999994,0.6677889210526324
"Aguado, Camilo",SAM,"Jun 12, 2022",no,T19 - T14 - T6 - T22 - T8,-0.9238615000000004,0.47615363157894686
"Germishuys, Deon",AFR,"Jun 12, 2022",no,T25 - T24 - 1 - T34 - CUT,-0.9264134999999992,0.604921310126583
"Knowles, Philip",KFT,"Jun 12, 2022",web,CUT - T23 - 66 - T25 - T12,-0.9278775000000001,0.1745786818181816
"Clements, Todd",CHA,"Jun 12, 2022",no,CUT - T13 - T14 - CUT - 2,-0.9401655000000011,0.5143812567567552
"O'Kennedy, Hennie",AFR,"Jun 12, 2022",no,T4 - T9 - T3 - T21 - MC,-0.9428114999999992,0.8588045294117661
"Gupta, Aman",AM,"May 30, 2022",web,T9 - T22 - 5 - T15 - T47,-0.9436394999999995,0.8264776428571434
"Garcia-Heredia, Alfredo",EURO,"Jun 12, 2022",no,CUT - T13 - T24 - T47 - CUT,-0.9466754999999996,-0.16765356818181765
"Harrington, Padraig",CHAMP,"May 29, 2022",no,T25 - T2 - 2 - CUT - T20,-0.9504214999999994,-0.2578493313253004
