player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Wise, Aaron",0.082,134,0.126,77,0.643,15,0.358,48,1.208,23,6.434,100,0.011,148
"Watson, Bubba",-0.086,248,0.003,164,0.303,55,0.552,22,0.772,44,6.388,101,0.006,165
"Horsfield, Sam",0.199,69,-0.039,200,0.355,41,-0.055,193,0.459,77,6.362,102,-0.029,282
"Li, Haotong",0.179,81,-0.101,260,-0.112,189,-0.438,323,-0.472,213,6.273,103,-0.097,411
"Cuartero Blanco, Emilio",-0.186,329,-0.274,389,-1.090,415,-0.108,212,-1.659,384,6.131,104,-0.079,391
"Spieth, Jordan",0.096,125,0.311,7,0.476,30,0.434,30,1.317,19,5.943,105,-0.029,280
"Ros, Pep Angles",-0.016,204,-0.123,274,-0.836,394,-0.540,357,-1.515,373,5.932,106,-0.077,386
"Waring, Paul",-0.354,396,-0.264,386,-0.258,246,0.135,116,-0.741,280,5.914,107,-0.030,286
"Trainer, Martin",0.345,23,0.025,146,-0.832,393,-0.454,333,-0.916,301,5.902,108,-0.088,403
"Heisele, Sebastian",-0.087,250,-0.383,419,-0.582,352,-0.079,202,-1.131,337,5.894,109,-0.028,274
"Theegala, Sahith",0.015,177,0.083,107,0.144,94,0.157,107,0.399,86,5.858,110,-0.035,297
"Lewis, Tom",-0.444,411,-0.357,413,-0.493,327,-0.248,266,-1.541,376,5.768,111,-0.041,310
"McNealy, Maverick",0.286,41,0.011,152,0.184,82,0.199,90,0.680,55,5.765,112,-0.003,189
"Day, Jason",0.291,38,0.300,9,-0.002,142,0.095,131,0.684,54,5.704,113,-0.006,199
"Hend, Scott",-0.541,423,-0.196,343,-0.728,380,-0.412,319,-1.876,397,5.573,114,-0.076,385
"Fleetwood, Tommy",0.313,34,0.179,47,0.363,40,0.249,72,1.103,30,5.489,115,-0.003,190
"Palmer, Ryan",-0.105,263,-0.085,246,-0.048,170,0.240,74,0.003,143,5.273,116,-0.009,210
"McLeod, Jake",0.095,126,-0.429,425,-1.318,424,-0.218,249,-1.869,395,5.257,117,-0.080,392
"Vincent, Scott",0.268,46,-0.264,385,-0.624,360,0.095,132,-0.525,233,5.239,118,-0.018,236
"Varner III, Harold",0.154,97,0.271,12,0.616,18,0.154,108,1.196,24,5.196,119,-0.018,237
"Pereira, Mito",0.026,171,0.064,120,0.596,21,0.556,21,1.242,21,5.144,120,0.057,41
"Perez, Victor",-0.000,192,-0.203,347,0.194,78,0.046,152,0.037,135,5.094,121,-0.044,322
"Fitzpatrick, Matthew",0.425,9,0.215,29,0.392,36,0.671,10,1.702,6,5.000,122,0.043,65
"Jordan, Matthew",-0.141,297,0.042,134,-0.400,301,-0.028,180,-0.528,234,4.987,123,-0.061,359
"Lowry, Shane",0.237,57,0.255,17,0.731,9,0.454,28,1.677,7,4.961,124,0.024,116
"Fowler, Rickie",0.015,179,0.206,33,0.115,105,-0.122,219,0.213,107,4.939,125,-0.001,184
"Paratore, Renato",0.169,86,0.026,145,-1.062,410,-1.141,418,-2.009,403,4.890,126,-0.129,427
"Lombard, Zander",-0.405,403,-0.110,266,-0.390,298,-0.141,228,-1.046,323,4.805,127,-0.050,339
"Kruyswijk, Jacques",0.006,187,-0.006,178,-0.799,391,0.288,62,-0.511,228,4.694,128,-0.016,230
"Matsuyama, Hideki",0.000,190,0.218,27,0.755,7,0.431,31,1.404,16,4.648,129,0.019,129
"Bekker, Oliver",0.129,106,0.086,104,-0.221,226,0.252,69,0.247,103,4.623,130,-0.027,271
"Stallings, Scott",0.147,99,-0.002,171,0.180,83,-0.038,185,0.287,96,4.504,131,-0.034,292
"Saddier, Adrien",-0.107,264,-0.184,330,-0.296,258,-0.539,356,-1.127,335,4.440,132,-0.051,345
"Power, Seamus",0.258,48,0.190,38,0.307,53,0.369,42,1.124,29,4.338,133,-0.000,182
"Langasque, Romain",-0.079,243,-0.020,186,-0.013,146,0.139,112,0.026,139,4.311,134,-0.027,273
"Schenk, Adam",0.074,141,-0.132,284,0.094,109,0.070,142,0.106,124,4.299,135,-0.008,206
"Porteous, Garrick",-0.427,406,-0.320,408,-0.591,354,0.165,102,-1.173,341,4.226,136,-0.012,221
