player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
T.J. Ward,5563,S,DEN,6,56,11.2,6.2,10,0,72.5,5,9,0,52,38,0.93
Jacquian Williams,6354,LB,NYG,7,33,11.0,11.0,21,0,109.7,3,3,0,31,18,0.94
Major Wright,5600,S,TB,2,11,11.0,5.5,30,0,114.6,1,2,1,15,20,1.36
Perry Riley,5627,LB,WAS,5,11,11.0,11.0,32,0,87.5,1,1,0,5,0,0.45
Marcus Gilchrist,6202,S,SD,7,110,11.0,6.9,27,0,106.0,10,16,1,119,121,1.08
Da'Norris Searcy,6252,S,BUF,4,22,11.0,11.0,4,0,85.4,2,2,0,9,0,0.41
Jimmy Smith,6179,CB,BLT,4,11,11.0,5.5,3,0,56.3,1,2,0,3,0,0.27
E.J. Biggers,5141,CB,WAS,7,128,10.7,6.4,32,0,98.5,12,20,1,143,62,1.12
Patrick Chung,4957,S,NE,7,42,10.5,8.4,19,0,111.7,4,5,0,54,42,1.29
Rafael Bush,5779,S,NO,5,21,10.5,7.0,20,0,88.2,2,3,0,22,5,1.05
Darqueze Dennard,8659,CB,CIN,2,21,10.5,7.0,7,0,129.2,2,3,1,23,24,1.1
Antrel Rolle,2225,S,NYG,7,31,10.3,5.2,21,0,56.3,3,6,0,14,8,0.45
Chris Owens,5013,CB,KC,5,111,10.1,6.9,16,0,109.9,11,16,1,114,82,1.03
Tavon Wilson,7051,S,NE,5,10,10.0,5.0,19,0,77.1,1,2,0,16,18,1.6
Roman Harper,2988,S,CAR,7,20,10.0,6.7,5,0,82.6,2,3,0,18,21,0.9
Malcolm Smith,6394,LB,SEA,4,10,10.0,2.5,29,0,39.6,1,4,0,7,7,0.7
Jason McCourty,5127,CB,TEN,5,10,10.0,10.0,31,0,108.3,1,1,0,10,2,1.0
Louis Delmas,4956,S,MIA,6,30,10.0,7.5,17,0,86.5,3,4,0,21,11,0.7
Husain Abdullah,4652,S,KC,6,50,10.0,5.6,16,0,68.3,5,9,0,43,26,0.86
Antonio Cromartie,2964,CB,ARZ,6,10,10.0,2.0,1,0,39.6,1,5,0,10,4,1.0
Brandon Boykin,7123,CB,PHI,6,130,10.0,5.7,24,0,65.9,13,23,0,92,45,0.71
Trumaine McBride,3837,CB,NYG,5,117,9.8,7.8,21,1,95.3,12,15,1,123,75,1.05
Coty Sensabaugh,7115,CB,TEN,5,98,9.8,7.5,31,0,92.1,10,13,0,81,41,0.83
Kam Chancellor,5656,S,SEA,6,39,9.8,7.8,29,1,52.1,4,5,0,30,14,0.77
Aaron Williams,6186,S,BUF,6,49,9.8,7.0,4,0,79.5,5,7,0,30,14,0.61
Nate Allen,5562,S,PHI,6,68,9.7,9.7,24,0,102.4,7,7,0,60,17,0.88
Kareem Jackson,5545,CB,HST,7,153,9.6,7.7,13,0,134.6,16,20,1,246,167,1.61
Dan Skuta,5349,ED,SF,6,19,9.5,6.3,28,0,71.5,2,3,0,10,15,0.53
Ryan Mundy,4508,S,CHI,6,38,9.5,7.6,6,1,59.6,4,5,0,39,8,1.03
Kayvon Webster,7871,CB,DEN,3,19,9.5,6.3,10,0,96.5,2,3,0,28,1,1.47
Isaiah Frey,7173,CB,CHI,3,57,9.5,5.7,6,0,121.7,6,10,2,72,24,1.26
Matt Elam,7813,S,BLT,6,103,9.4,7.9,3,0,133.7,11,13,1,129,60,1.25
Bene Benwikere,8783,CB,CAR,5,113,9.4,6.6,5,0,89.3,12,17,0,116,73,1.03
Marqueston Huff,8757,CB,TEN,5,74,9.3,6.2,31,0,76.7,8,12,0,55,46,0.74
Troy Polamalu,1332,S,PIT,7,37,9.3,9.3,25,0,85.4,4,4,0,18,15,0.49
Alfonzo Dennard,7208,CB,NE,3,65,9.3,6.5,19,0,132.9,7,10,1,94,36,1.45
Robert McClain,5771,CB,ATL,6,112,9.3,5.9,2,1,63.0,12,19,0,138,58,1.23
Lamarcus Joyner,8676,CB,SL,5,82,9.1,5.5,26,0,70.1,9,15,0,65,34,0.79
Jason Worilds,5577,ED,PIT,4,9,9.0,9.0,25,0,118.8,1,1,0,13,3,1.44
