"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"123","D.J. Trahan",22311836,6200,46.3,2e-04,0.0014,126,0.0012,6,43.53,0.61,69,22,0.23,1,-0.15,372.2875,375
"124","Ricky Barnes",22311838,6100,37.88,1e-04,1e-04,137,0,0,34.52,0.05,60.5,19,0.02,1,-0.29,9.7825,10
"125","Grayson Murray",22311839,6100,49.43,3e-04,0.0021,117,0.0018,6,31.43,0.63,57,18.5,0.34,1,0.03,373.6225,375
"126","Jeffrey Kang",22311840,6100,24.5,1e-04,0.0019,122,0.0018,18,34.25,0.24,60.5,19.5,0.31,1,0,3253.6,3255
"127","Mark Hensby",22311841,6100,54.67,0.0023,0.0012,131,-0.0011,-0.4783,30.66,0.42,53.5,18,0.2,1,-0.11,10.0052089,10
"128","Greg Chalmers",22311842,6100,53.12,7e-04,0.0023,113,0.0016,2.2857,32.49,0.43,58,19,0.38,1,0.07,65.4967449,65
"129","Jim Knous",22311843,6100,53.3,8e-04,0.0028,106,0.002,2.5,45.32,0.34,71,22.5,0.46,1,0.15,76.6125,75
"130","Arjun Atwal",22311844,6100,52,2e-04,0.002,119,0.0018,9,44.24,0.29,70,22.5,0.33,1,0.02,823.615,825
"131","Jonas Blixt",22311845,6100,32.8,1e-04,0.0013,128,0.0012,12,31.22,0.06,56,18.43,0.21,1,-0.1,1452.325,1450
"132","Ben Crane",22311846,6100,34,3e-04,0.0019,122,0.0016,5.3333,32.78,0.04,58.5,19,0.31,1,0,297.6408889,300
"133","Kelly Kraft",22311848,6000,37.07,0.0011,0.0023,113,0.0012,1.0909,32.65,0.03,58,19,0.38,1,0.13,24.3981281,25
"134","D.A. Points",22311849,6000,53,1e-04,0.0013,128,0.0012,12,28.3,0.11,48.08,17,0.22,1,-0.03,1452.3775,1450
"135","Matt Every",22311851,6000,34.25,1e-04,0.0013,128,0.0012,12,27.39,0.1,36,16.5,0.22,1,-0.03,1452.3775,1450
"136","Isidro Benitez",22311852,6000,0,1e-04,0.0035,96,0.0034,34,18.59,0.48,24,12,0.58,1,0.33,11577.0475,11580
"137","Jose Antonio Safa",22311853,6000,0,1e-04,1e-04,137,0,0,18.35,0.02,24,12,0.02,1,-0.23,9.8275,10
"138","Manuel Inman",22311856,6000,0,1e-04,1e-04,137,0,0,18.23,0.12,23.5,12,0.02,1,-0.23,9.8275,10
